raw_sector,raw_industry,alias_group_id
Consumer Durables,Paints,specialty_chemicals
Consumer Durables,Plywood Boards/ Laminates,building_products
Media Entertainment & Publication,Media & Entertainment,media_broadcasting
Media Entertainment & Publication,TV Broadcasting & Software Production,media_broadcasting
Media Entertainment & Publication,Advertising & Media Agencies,media_broadcasting
Media Entertainment & Publication,Digital Entertainment,media_broadcasting
Media Entertainment & Publication,Film Production Distribution & Exhibition,multiplex_exhibition
Media Entertainment & Publication,Print Media,media_broadcasting
Media Entertainment & Publication,Printing & Publication,media_broadcasting
Forest Materials,Paper & Paper Products,packaged_foods_bev
Capital Goods,Plastic Products - Industrial,pipes_plastic_bm
Capital Goods,Trading & Distributors,bearings_industrial_components
Services,Hotel & Resorts,hotels
Consumer Services,Hotel & Resorts,hotels
