symbol,company_name,raw_sector,raw_industry,business_desc,suggested_group_id,confidence_score,review_reason
SUNDRMFAST,Sundram Fasteners Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
OLAELEC,Ola Electric Mobility Limited,Market Leaders,Unclassified,,,0.00,no_match
ECLERX,eClerx Services Limited,Market Leaders,Unclassified,,,0.00,no_match
BASF,BASF India Limited,Market Leaders,Unclassified,,,0.00,no_match
TENNIND,Tenneco Clean Air India Limited,Market Leaders,Unclassified,,,0.00,no_match
CROMPTON,Crompton Greaves Consumer Electricals Limited,Market Leaders,Unclassified,,consumer_electronics_appliances,0.25,low_keyword_confidence
BIKAJI,Bikaji Foods International Limited,Market Leaders,Unclassified,,packaged_foods_bev,0.32,low_keyword_confidence
ATUL,Atul Limited,Market Leaders,Unclassified,,,0.00,no_match
SARDAEN,Sarda Energy & Minerals Limited,Market Leaders,Unclassified,,,0.00,no_match
SAILIFE,Sai Life Sciences Limited,Market Leaders,Unclassified,,,0.00,no_match
CGCL,Capri Global Capital Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
ARE&M,Amara Raja Energy & Mobility Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
MAHSCOOTER,Maharashtra Scooters Limited,Market Leaders,Unclassified,,,0.00,no_match
FIVESTAR,Five-Star Business Finance Limited,Market Leaders,Unclassified,,,0.00,no_match
CARBORUNIV,Carborundum Universal Limited,Market Leaders,Unclassified,,,0.00,no_match
NAVA,NAVA LIMITED,Market Leaders,Unclassified,,,0.00,no_match
CENTURYPLY,Century Plyboards (India) Limited,Market Leaders,Unclassified,,building_products,0.32,low_keyword_confidence
BEML,BEML Limited,Market Leaders,Unclassified,,,0.00,no_match
MANYAVAR,Vedant Fashions Limited,Market Leaders,Unclassified,,,0.00,no_match
ABLBL,Aditya Birla Lifestyle Brands Limited,Market Leaders,Unclassified,,,0.00,no_match
TBOTEK,TBO Tek Limited,Market Leaders,Unclassified,,,0.00,no_match
CONCORDBIO,Concord Biotech Limited,Market Leaders,Unclassified,,biotech_vaccines,0.31,low_keyword_confidence
TRAVELFOOD,Travel Food Services Limited,Market Leaders,Unclassified,,,0.00,no_match
CPPLUS,Aditya Infotech Limited,Market Leaders,Unclassified,,,0.00,no_match
SOBHA,Sobha Limited,Market Leaders,Unclassified,,,0.00,no_match
LMW,LMW Limited,Market Leaders,Unclassified,,,0.00,no_match
ACMESOLAR,Acme Solar Holdings Limited,Market Leaders,Unclassified,,,0.00,no_match
IRCON,Ircon International Limited,Market Leaders,Unclassified,,railways_epc_rolling_stock,0.33,low_keyword_confidence
GABRIEL,Gabriel India Limited,Market Leaders,Unclassified,,,0.00,no_match
ELGIEQUIP,Elgi Equipments Limited,Market Leaders,Unclassified,,,0.00,no_match
NATCOPHARM,Natco Pharma Limited,Market Leaders,Unclassified,,,0.00,no_match
CHOICEIN,Choice International Limited,Market Leaders,Unclassified,,,0.00,no_match
SIGNATURE,Signatureglobal (India) Limited,Market Leaders,Unclassified,,,0.00,no_match
CIEINDIA,CIE Automotive India Limited,Market Leaders,Unclassified,,,0.00,no_match
TECHNOE,Techno Electric & Engineering Company Limited,Market Leaders,Unclassified,,,0.00,no_match
JMFINANCIL,JM Financial Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
GPIL,Godawari Power And Ispat limited,Market Leaders,Unclassified,,,0.00,no_match
AKZOINDIA,Akzo Nobel India Limited,Market Leaders,Unclassified,,building_products,0.32,low_keyword_confidence
CAPLIPOINT,Caplin Point Laboratories Limited,Market Leaders,Unclassified,,,0.00,no_match
IGIL,International Gemmological Institute (India) Limited,Market Leaders,Unclassified,,,0.00,no_match
DOMS,DOMS Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
LTFOODS,LT Foods Limited,Market Leaders,Unclassified,,,0.00,no_match
AGARWALEYE,Dr. Agarwal's Health Care Limited,Market Leaders,Unclassified,,,0.00,no_match
JBMA,JBM Auto Limited,Market Leaders,Unclassified,,,0.00,no_match
RRKABEL,R R Kabel Limited,Market Leaders,Unclassified,,,0.00,no_match
GALLANTT,Gallantt Ispat Limited,Market Leaders,Unclassified,,,0.00,no_match
IFCI,IFCI Limited,Market Leaders,Unclassified,,,0.00,no_match
INDIAMART,Indiamart Intermesh Limited,Market Leaders,Unclassified,,,0.00,no_match
PARADEEP,Paradeep Phosphates Limited,Market Leaders,Unclassified,,,0.00,no_match
TRIDENT,Trident Limited,Market Leaders,Unclassified,,,0.00,no_match
INTELLECT,Intellect Design Arena Limited,Market Leaders,Unclassified,,midcap_it_services,0.28,low_keyword_confidence
FINEORG,Fine Organic Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
NUVOCO,Nuvoco Vistas Corporation Limited,Market Leaders,Unclassified,,,0.00,no_match
BATAINDIA,Bata India Limited,Market Leaders,Unclassified,,footwear_luggage,0.33,low_keyword_confidence
SWANCORP,SWAN CORP LIMITED,Market Leaders,Unclassified,,,0.00,no_match
KIRLOSENG,Kirloskar Oil Engines Limited,Market Leaders,Unclassified,,,0.00,no_match
BLS,BLS International Services Limited,Market Leaders,Unclassified,,,0.00,no_match
EMMVEE,Emmvee Photovoltaic Power Limited,Market Leaders,Unclassified,,,0.00,no_match
SPLPETRO,Supreme Petrochem Limited,Market Leaders,Unclassified,,,0.00,no_match
ZYDUSWELL,Zydus Wellness Limited,Market Leaders,Unclassified,,,0.00,no_match
PCBL,PCBL Chemical Limited,Market Leaders,Unclassified,,,0.00,no_match
CEMPRO,Cemindia Projects Limited,Market Leaders,Unclassified,,,0.00,no_match
ZENTEC,Zen Technologies Limited,Market Leaders,Unclassified,,,0.00,no_match
JAINREC,Jain Resource Recycling Limited,Market Leaders,Unclassified,,,0.00,no_match
IEX,Indian Energy Exchange Limited,Market Leaders,Unclassified,,amc_exchanges_depositories,0.29,low_keyword_confidence
CYIENT,Cyient Limited,Market Leaders,Unclassified,,midcap_it_services,0.29,low_keyword_confidence
MINDACORP,Minda Corporation Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
BELRISE,Belrise Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
CELLO,Cello World Limited,Market Leaders,Unclassified,,,0.00,no_match
ANURAS,Anupam Rasayan India Limited,Market Leaders,Unclassified,,,0.00,no_match
GRANULES,Granules India Limited,Market Leaders,Unclassified,,,0.00,no_match
GRAVITA,Gravita India Limited,Market Leaders,Unclassified,,,0.00,no_match
TEGA,Tega Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
NCC,NCC Limited,Market Leaders,Unclassified,,,0.00,no_match
ACE,Action Construction Equipment Limited,Market Leaders,Unclassified,,,0.00,no_match
ELECON,Elecon Engineering Company Limited,Market Leaders,Unclassified,,,0.00,no_match
EMBDL,Embassy Developments Limited,Market Leaders,Unclassified,,,0.00,no_match
JINDALSAW,Jindal Saw Limited,Market Leaders,Unclassified,,,0.00,no_match
WELSPUNLIV,Welspun Living Limited,Market Leaders,Unclassified,,,0.00,no_match
ACUTAAS,Acutaas Chemicals Limited,Market Leaders,Unclassified,,,0.00,no_match
SAMMAANCAP,Sammaan Capital Limited,Market Leaders,Unclassified,,,0.00,no_match
INGERRAND,Ingersoll Rand (India) Limited,Market Leaders,Unclassified,,,0.00,no_match
BLUEJET,Blue Jet Healthcare Limited,Market Leaders,Unclassified,,,0.00,no_match
CARTRADE,Cartrade Tech Limited,Market Leaders,Unclassified,,,0.00,no_match
TSFINV,TSF INVESTMENTS LIMITED,Market Leaders,Unclassified,,,0.00,no_match
SBFC,Sbfc Finance Limited,Market Leaders,Unclassified,,,0.00,no_match
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Market Leaders,Unclassified,,ems_electronics_manufacturing,0.30,low_keyword_confidence
SHRIPISTON,Shriram Pistons & Rings Limited,Market Leaders,Unclassified,,,0.00,no_match
ALIVUS,Alivus Life Sciences Limited,Market Leaders,Unclassified,,,0.00,no_match
ENGINERSIN,Engineers India Limited,Market Leaders,Unclassified,,,0.00,no_match
J&KBANK,The Jammu & Kashmir Bank Limited,Market Leaders,Unclassified,,,0.00,no_match
OLECTRA,Olectra Greentech Limited,Market Leaders,Unclassified,,commercial_vehicles,0.30,low_keyword_confidence
GRINFRA,G R Infraprojects Limited,Market Leaders,Unclassified,,,0.00,no_match
SANOFICONR,Sanofi Consumer Healthcare India Limited,Market Leaders,Unclassified,,,0.00,no_match
WAAREERTL,Waaree Renewable Technologies Limited,Market Leaders,Unclassified,,,0.00,no_match
VIKRAMSOLR,Vikram Solar Limited,Market Leaders,Unclassified,,,0.00,no_match
GRAPHITE,Graphite India Limited,Market Leaders,Unclassified,,,0.00,no_match
BLACKBUCK,BLACKBUCK LIMITED,Market Leaders,Unclassified,,,0.00,no_match
INOXINDIA,INOX India Limited,Market Leaders,Unclassified,,,0.00,no_match
RUBICON,Rubicon Research Limited,Market Leaders,Unclassified,,,0.00,no_match
AETHER,Aether Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
AZAD,Azad Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
EDELWEISS,Edelweiss Financial Services Limited,Market Leaders,Unclassified,,diversified_nbfcs,0.32,low_keyword_confidence
NAZARA,Nazara Technologies Limited,Market Leaders,Unclassified,,media_broadcasting,0.30,low_keyword_confidence
IXIGO,Le Travenues Technology Limited,Market Leaders,Unclassified,,,0.00,no_match
VESUVIUS,Vesuvius India Limited,Market Leaders,Unclassified,,,0.00,no_match
GENUSPOWER,Genus Power Infrastructures Limited,Market Leaders,Unclassified,,,0.00,no_match
RELINFRA,Reliance Infrastructure Limited,Market Leaders,Unclassified,,,0.00,no_match
HEG,HEG Limited,Market Leaders,Unclassified,,,0.00,no_match
SHAILY,Shaily Engineering Plastics Limited,Market Leaders,Unclassified,,,0.00,no_match
TIMETECHNO,Time Technoplast Limited,Market Leaders,Unclassified,,,0.00,no_match
BANCOINDIA,Banco Products (I) Limited,Market Leaders,Unclassified,,,0.00,no_match
IIFLCAPS,IIFL Capital Services Limited,Market Leaders,Unclassified,,,0.00,no_match
ASKAUTOLTD,ASK Automotive Limited,Market Leaders,Unclassified,,,0.00,no_match
MEDPLUS,Medplus Health Services Limited,Market Leaders,Unclassified,,,0.00,no_match
MMTC,MMTC Limited,Market Leaders,Unclassified,,,0.00,no_match
SUDARSCHEM,Sudarshan Chemical Industries Limited,Market Leaders,Unclassified,,dyes_pigments_fluorochem,0.30,low_keyword_confidence
RHIM,RHI MAGNESITA INDIA LTD,Market Leaders,Unclassified,,,0.00,no_match
AEQUS,Aequs Limited,Market Leaders,Unclassified,,,0.00,no_match
TRANSRAILL,Transrail Lighting Limited,Market Leaders,Unclassified,,,0.00,no_match
HCG,Healthcare Global Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
NESCO,Nesco Limited,Market Leaders,Unclassified,,,0.00,no_match
KRBL,KRBL Limited,Market Leaders,Unclassified,,,0.00,no_match
VARROC,Varroc Engineering Limited,Market Leaders,Unclassified,,auto_anc_powertrain,0.32,low_keyword_confidence
SANSERA,Sansera Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Market Leaders,Unclassified,,,0.00,no_match
WABAG,VA Tech Wabag Limited,Market Leaders,Unclassified,,,0.00,no_match
LLOYDSENT,Lloyds Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
TTKPRESTIG,TTK Prestige Limited,Market Leaders,Unclassified,,,0.00,no_match
DBREALTY,Valor Estate Limited,Market Leaders,Unclassified,,,0.00,no_match
MARKSANS,Marksans Pharma Limited,Market Leaders,Unclassified,,,0.00,no_match
TCI,Transport Corporation of India Limited,Market Leaders,Unclassified,,ports_port_services,0.31,low_keyword_confidence
BBOX,Black Box Limited,Market Leaders,Unclassified,,,0.00,no_match
POWERMECH,Power Mech Projects Limited,Market Leaders,Unclassified,,,0.00,no_match
ORKLAINDIA,Orkla India Limited,Market Leaders,Unclassified,,,0.00,no_match
SOUTHBANK,The South Indian Bank Limited,Market Leaders,Unclassified,,private_banks,0.25,low_keyword_confidence
JAIBALAJI,Jai Balaji Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
JSLL,Jeena Sikho Lifecare Limited,Market Leaders,Unclassified,,,0.00,no_match
PCJEWELLER,PC Jeweller Limited,Market Leaders,Unclassified,,,0.00,no_match
CORONA,CORONA Remedies Limited,Market Leaders,Unclassified,,,0.00,no_match
TANLA,Tanla Platforms Limited,Market Leaders,Unclassified,,,0.00,no_match
MANORAMA,Manorama Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
ARVIND,Arvind Limited,Market Leaders,Unclassified,,,0.00,no_match
PNGJL,P N Gadgil Jewellers Limited,Market Leaders,Unclassified,,,0.00,no_match
CAMPUS,Campus Activewear Limited,Market Leaders,Unclassified,,,0.00,no_match
RELIGARE,Religare Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
GMRP&UI,Gmr Power And Urban Infra Limited,Market Leaders,Unclassified,,,0.00,no_match
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Market Leaders,Unclassified,,,0.00,no_match
WEWORK,WeWork India Management Limited,Market Leaders,Unclassified,,,0.00,no_match
RCF,Rashtriya Chemicals and Fertilizers Limited,Market Leaders,Unclassified,,,0.00,no_match
ESABINDIA,Esab India Limited,Market Leaders,Unclassified,,,0.00,no_match
STAR,Strides Pharma Science Limited,Market Leaders,Unclassified,,,0.00,no_match
DIACABS,Diamond Power Infrastructure Limited,Market Leaders,Unclassified,,,0.00,no_match
GRWRHITECH,Garware Hi-Tech Films Limited,Market Leaders,Unclassified,,,0.00,no_match
CERA,Cera Sanitaryware Limited,Market Leaders,Unclassified,,home_furnishings,0.26,low_keyword_confidence
KALPATARU,Kalpataru Limited,Market Leaders,Unclassified,,,0.00,no_match
GSFC,Gujarat State Fertilizers & Chemicals Limited,Market Leaders,Unclassified,,,0.00,no_match
GARFIBRES,Garware Technical Fibres Limited,Market Leaders,Unclassified,,,0.00,no_match
ACI,Archean Chemical Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
MAXESTATES,Max Estates Limited,Market Leaders,Unclassified,,,0.00,no_match
THOMASCOOK,Thomas Cook  (India)  Limited,Market Leaders,Unclassified,,hotels,0.30,low_keyword_confidence
SUDEEPPHRM,Sudeep Pharma Limited,Market Leaders,Unclassified,,,0.00,no_match
AARTIPHARM,Aarti Pharmalabs Limited,Market Leaders,Unclassified,,,0.00,no_match
THANGAMAYL,Thangamayil Jewellery Limited,Market Leaders,Unclassified,,,0.00,no_match
RUSTOMJEE,Keystone Realtors Limited,Market Leaders,Unclassified,,,0.00,no_match
AJAXENGG,Ajax Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
ETHOSLTD,Ethos Limited,Market Leaders,Unclassified,,,0.00,no_match
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Market Leaders,Unclassified,,,0.00,no_match
REDTAPE,Redtape Limited,Market Leaders,Unclassified,,,0.00,no_match
TIPSMUSIC,Tips Music Limited,Market Leaders,Unclassified,,,0.00,no_match
ATLANTAELE,Atlanta Electricals Limited,Market Leaders,Unclassified,,,0.00,no_match
EPIGRAL,Epigral Limited,Market Leaders,Unclassified,,,0.00,no_match
INOXGREEN,Inox Green Energy Services Limited,Market Leaders,Unclassified,,,0.00,no_match
BALUFORGE,Balu Forge Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
GANESHHOU,GANESH HOUSING LIMITED,Market Leaders,Unclassified,,,0.00,no_match
RTNINDIA,RattanIndia Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
PFOCUS,Prime Focus Limited,Market Leaders,Unclassified,,,0.00,no_match
WELENT,Welspun Enterprises Limited,Market Leaders,Unclassified,,,0.00,no_match
RAYMONDLSL,Raymond Lifestyle Limited,Market Leaders,Unclassified,,,0.00,no_match
ISGEC,Isgec Heavy Engineering Limited,Market Leaders,Unclassified,,,0.00,no_match
PRAJIND,Praj Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
RATEGAIN,Rategain Travel Technologies Limited,Market Leaders,Unclassified,,,0.00,no_match
EPL,EPL Limited,Market Leaders,Unclassified,,,0.00,no_match
AURIONPRO,Aurionpro Solutions Limited,Market Leaders,Unclassified,,,0.00,no_match
JUSTDIAL,Just Dial Limited,Market Leaders,Unclassified,,,0.00,no_match
PGIL,Pearl Global Industries Limited,Market Leaders,Unclassified,,,0.00,no_match
